"ProcessName","Path","Id"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","9428"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","10992"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","11796"
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","5856"
"svchost","C:\WINDOWS\System32\svchost.exe","1140"
"svchost","C:\WINDOWS\system32\svchost.exe","1260"
"svchost","C:\WINDOWS\system32\svchost.exe","1340"
"svchost","C:\WINDOWS\system32\svchost.exe","1404"
"svchost","C:\WINDOWS\system32\svchost.exe","1452"
"svchost","C:\WINDOWS\system32\svchost.exe","1636"
"svchost","C:\WINDOWS\System32\svchost.exe","1680"
"svchost","C:\WINDOWS\system32\svchost.exe","1720"
"svchost","C:\WINDOWS\System32\svchost.exe","1736"
"svchost","C:\WINDOWS\system32\svchost.exe","1748"
"svchost","C:\WINDOWS\system32\svchost.exe","1884"
"svchost","C:\WINDOWS\system32\svchost.exe","1940"
"svchost","C:\WINDOWS\system32\svchost.exe","1988"
"svchost","C:\WINDOWS\system32\svchost.exe","2020"
"svchost","C:\WINDOWS\System32\svchost.exe","2028"
"svchost","C:\WINDOWS\system32\svchost.exe","2084"
"svchost","C:\WINDOWS\system32\svchost.exe","2120"
"svchost","C:\WINDOWS\System32\svchost.exe","2208"
"svchost","C:\WINDOWS\system32\svchost.exe","2216"
"svchost","C:\WINDOWS\system32\svchost.exe","2224"
"svchost","C:\WINDOWS\system32\svchost.exe","2248"
"svchost","C:\WINDOWS\system32\svchost.exe","2344"
"svchost","C:\WINDOWS\System32\svchost.exe","2372"
"svchost","C:\WINDOWS\system32\svchost.exe","2380"
"svchost","C:\WINDOWS\system32\svchost.exe","2492"
"svchost","C:\WINDOWS\system32\svchost.exe","2508"
"svchost","C:\WINDOWS\system32\svchost.exe","2584"
"svchost","C:\WINDOWS\System32\svchost.exe","2644"
"svchost","C:\WINDOWS\system32\svchost.exe","2664"
"svchost","C:\WINDOWS\System32\svchost.exe","2712"
"svchost","C:\WINDOWS\system32\svchost.exe","2868"
"svchost","C:\WINDOWS\system32\svchost.exe","2916"
"svchost","C:\WINDOWS\system32\svchost.exe","3000"
"svchost","C:\WINDOWS\system32\svchost.exe","3176"
